Id,transcription,normalized_transcription
0073.wav,You wished to know all about my grandfather,you wished to know all about my grandfather
0074.wav,suit,suit
0075.wav,spark,spark
0076.wav,beta,beta
0077.wav,swore,swore
0078.wav,swarm,swarm
0079.wav,Twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ
0080.wav,dug,dug
0081.wav,knee,knee
0082.wav,but he always answers Banana oil,but he always answers banana oil
0083.wav,race,race
0084.wav,beat,beat
0085.wav,swarm,swarm
0086.wav,storm,storm
0087.wav,meat,meat
0088.wav,sleep,sleep
0089.wav,ship,ship
0090.wav,prior,prior
0091.wav,sip,sip
0092.wav,usually minus several buttons,usually minus several buttons
0093.wav,deer,deer
0094.wav,jacket,jacket
0095.wav,rain,rain
0096.wav,fee,fee
0097.wav,feet,feet
0098.wav,trace,trace
0099.wav,down,down
0100.wav,right,right
0101.wav,rage,rage
0102.wav,know,know
0103.wav,hair,hair
0104.wav,rave,rave
0105.wav,jungle,jungle
0106.wav,coupe,coupe
0107.wav,go,go
0108.wav,air,air
0109.wav,The quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog
0110.wav,slip,slip
0111.wav,trade,trade
0112.wav,bug,bug
0113.wav,Mother sews yellow gingham aprons,mother sews yellow gingham aprons
0114.wav,Grandfather likes to be modern in his language,grandfather likes to be modern in his language
0115.wav,sigh,sigh
0116.wav,torn,torn
0117.wav,Their house is grey and white,their house is grey and white
0118.wav,no,no
0119.wav,share,share
0120.wav,train,train
0121.wav,Two other cases also were under advisement,two other cases also were under advisement
0122.wav,group,group
0123.wav,A long flowing beard clings to his chin,a long flowing beard clings to his chin
0124.wav,floor,floor
0125.wav,weed,weed
0126.wav,thigh,thigh
0127.wav,yes,yes
0128.wav,bit,bit
0129.wav,chair,chair
0130.wav,feet,feet
0131.wav,park,park
0132.wav,yes,yes
0133.wav,lead ,lead 
0134.wav,trouble,trouble
0135.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
0136.wav,feed,feed
0137.wav,sip,sip
0138.wav,sheet,sheet
0139.wav,yet he still thinks as swiftly as ever,yet he still thinks as swiftly as ever
0140.wav,dagger,dagger
0141.wav,trait,trait
0142.wav,pot,pot
0143.wav,warm,warm
0144.wav,He will allow a rare lie,he will allow a rare lie
0145.wav,know,know
0146.wav,glow,glow
0147.wav,delta,delta
0148.wav,beat,beat
0149.wav,She had your dark suit in greasy wash water all year,she had your dark suit in greasy wash water all year
0150.wav,read ,read 
0151.wav,delta,delta
0152.wav,galore,galore
0153.wav,dark,dark
0154.wav,dug,dug
0155.wav,swarm,swarm
0156.wav,race,race
0157.wav,share,share
0158.wav,know,know
0159.wav,jacket,jacket
0160.wav,slay,slay
0161.wav,bit,bit
0162.wav,knew,knew
0163.wav,grow,grow
0164.wav,trade,trade
0165.wav,down,down
0166.wav,He will allow a rare lie,he will allow a rare lie
0167.wav,no,no
0168.wav,horn,horn
0169.wav,fee,fee
0170.wav,knew,knew
0171.wav,gadget,gadget
0172.wav,We gathered shells on the beach,we gathered shells on the beach
0173.wav,sticks,sticks
0174.wav,tear ,tear 
0175.wav,sip,sip
0176.wav,urgent,urgent
0177.wav,air,air
0178.wav,swarm,swarm
0179.wav,weed,weed
0180.wav,glow,glow
0181.wav,air,air
0182.wav,coupe,coupe
0183.wav,sip,sip
0184.wav,feed,feed
0185.wav,ate,ate
0186.wav,deer,deer
0187.wav,Well he is nearly ninetythree years old,well he is nearly ninetythree years old
0188.wav,Except in the winter when the ooze or snow or ice prevents,except in the winter when the ooze or snow or ice prevents
0189.wav,two,two
0190.wav,farm,farm
0191.wav,fair,fair
0192.wav,yet he still thinks as swiftly as ever,yet he still thinks as swiftly as ever
0193.wav,floor,floor
0194.wav,trait,trait
0195.wav,Nothing is as offensive as innocence,nothing is as offensive as innocence
0196.wav,hear,hear
0197.wav,whoop,whoop
0198.wav,yes,yes
0199.wav,read ,read 
0200.wav,torn,torn
0201.wav,left,left
0202.wav,rate,rate
0203.wav,pat,pat
0204.wav,warm,warm
0205.wav,raid,raid
0206.wav,feet,feet
0207.wav,giving those who observe him a pronounced feeling of the utmost respect,giving those who observe him a pronounced feeling of the utmost respect
0208.wav,usually minus several buttons,usually minus several buttons
0209.wav,Their house is grey and white,their house is grey and white
0210.wav,rake,rake
0211.wav,bat,bat
0212.wav,troop,troop
0213.wav,warm,warm
0214.wav,but he always answers Banana oil,but he always answers banana oil
0215.wav,beat,beat
0216.wav,form,form
0217.wav,prior,prior
0218.wav,jagged,jagged
0219.wav,group,group
0220.wav,feet,feet
0221.wav,train,train
0222.wav,storm,storm
0223.wav,alpha,alpha
0224.wav,for,for
0225.wav,rocks,rocks
0226.wav,white,white
0227.wav,know,know
0228.wav,hair,hair
0229.wav,air,air
0230.wav,he slowly takes a short walk in the open air each day,he slowly takes a short walk in the open air each day
0231.wav,rage,rage
0232.wav,the,the
0233.wav,play,play
0234.wav,sheet,sheet
0235.wav,meat,meat
0236.wav,We have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less
0237.wav,slip,slip
0238.wav,Twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ
0239.wav,spark,spark
0240.wav,read ,read 
0241.wav,rave,rave
0242.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
0243.wav,chair,chair
0244.wav,wish,wish
0245.wav,double,double
0246.wav,up,up
0247.wav,one,one
0248.wav,A long flowing beard clings to his chin,a long flowing beard clings to his chin
0249.wav,She had your dark suit in greasy wash water all year,she had your dark suit in greasy wash water all year
0250.wav,trace,trace
0251.wav,sleep,sleep
0252.wav,ate,ate
0253.wav,thigh,thigh
0254.wav,slip,slip
0255.wav,bug,bug
0256.wav,boot,boot
0257.wav,born,born
0258.wav,range,range
0259.wav,Grandfather likes to be modern in his language,grandfather likes to be modern in his language
0260.wav,Mother sews yellow gingham aprons,mother sews yellow gingham aprons
0261.wav,trouble,trouble
0262.wav,Don't ask me to carry an oily rag like that,dont ask me to carry an oily rag like that
0263.wav,jungle,jungle
0264.wav,store,store
0265.wav,goat,goat
0266.wav,car,car
0267.wav,dagger,dagger
0268.wav,go,go
0269.wav,sip,sip
0270.wav,You wished to know all about my grandfather,you wished to know all about my grandfather
0271.wav,feed,feed
0272.wav,pot,pot
0273.wav,but he always answers Banana oil,but he always answers banana oil
0274.wav,write,write
0275.wav,stick,stick
0276.wav,tip,tip
0277.wav,sigh,sigh
0278.wav,stubble,stubble
0279.wav,ship,ship
0280.wav,Two other cases also were under advisement,two other cases also were under advisement
0281.wav,yes,yes
0282.wav,beta,beta
0283.wav,sigh,sigh
0284.wav,rain,rain
0285.wav,right,right
0286.wav,When he speaks his voice is just a bit cracked and quivers a trifle,when he speaks his voice is just a bit cracked and quivers a trifle
0287.wav,chair,chair
0288.wav,I just try to do my best,i just try to do my best
0289.wav,The quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog
0290.wav,knee,knee
0291.wav,corn,corn
0292.wav,bubble,bubble
0293.wav,swore,swore
0294.wav,beat,beat
0295.wav,suit,suit
0296.wav,storm,storm
0297.wav,park,park
0298.wav,rock,rock
0299.wav,steer,steer
0300.wav,usually minus several buttons,usually minus several buttons
0301.wav,lead ,lead 
0302.wav,tile,tile
0303.wav,but he always answers Banana oil,but he always answers banana oil
0304.wav,swore,swore
0305.wav,jungle,jungle
0306.wav,cycle,cycle
0307.wav,fruit,fruit
0308.wav,Both figures would go higher in later years,both figures would go higher in later years
0309.wav,knew,knew
0310.wav,snoop,snoop
0311.wav,sleep,sleep
0312.wav,root,root
0313.wav,pad,pad
0314.wav,weed,weed
0315.wav,read ,read 
0316.wav,beta,beta
0317.wav,Mother sews yellow gingham aprons,mother sews yellow gingham aprons
0318.wav,horn,horn
0319.wav,sip,sip
0320.wav,trait,trait
0321.wav,fee,fee
0322.wav,yes,yes
0323.wav,rage,rage
0324.wav,The train approached the depot slowly,the train approached the depot slowly
0325.wav,shoot,shoot
0326.wav,We gathered shells on the beach,we gathered shells on the beach
0327.wav,I just try to do my best,i just try to do my best
0328.wav,boot,boot
0329.wav,bad,bad
0330.wav,Jane may earn more money by working hard,jane may earn more money by working hard
0331.wav,air,air
0332.wav,near,near
0333.wav,area,area
0334.wav,The islands are sparsely populated,the islands are sparsely populated
0335.wav,knot,knot
0336.wav,Nothing is as offensive as innocence,nothing is as offensive as innocence
0337.wav,cheer,cheer
0338.wav,ate,ate
0339.wav,fear,fear
0340.wav,A long flowing beard clings to his chin,a long flowing beard clings to his chin
0341.wav,shear,shear
0342.wav,light,light
0343.wav,dagger,dagger
0344.wav,swarm,swarm
0345.wav,rave,rave
0346.wav,If you destroy confidence in banks you do something to the economy he said,if you destroy confidence in banks you do something to the economy he said
0347.wav,urgent,urgent
0348.wav,bat,bat
0349.wav,peer,peer
0350.wav,lead ,lead 
0351.wav,read ,read 
0352.wav,I looked up and noticed two old men,i looked up and noticed two old men
0353.wav,usually minus several buttons,usually minus several buttons
0354.wav,gadget,gadget
0355.wav,left,left
0356.wav,park,park
0357.wav,swarm,swarm
0358.wav,menu,menu
0359.wav,tip,tip
0360.wav,bit,bit
0361.wav,three,three
0362.wav,stick,stick
0363.wav,One validated acts of school districts,one validated acts of school districts
0364.wav,back,back
0365.wav,dot,dot
0366.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
0367.wav,sway,sway
0368.wav,pat,pat
0369.wav,rocks,rocks
0370.wav,error,error
0371.wav,slay,slay
0372.wav,white,white
0373.wav,You're used to being on the field,youre used to being on the field
0374.wav,yes,yes
0375.wav,know,know
0376.wav,I scrubbed the floors thoroughly,i scrubbed the floors thoroughly
0377.wav,born,born
0378.wav,Where were you while we were away,where were you while we were away
0379.wav,bug,bug
0380.wav,storm,storm
0381.wav,sheet,sheet
0382.wav,Why yell or worry over silly items,why yell or worry over silly items
0383.wav,prior,prior
0384.wav,The humidity is overwhelming there,the humidity is overwhelming there
0385.wav,play,play
0386.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
0387.wav,grow,grow
0388.wav,pile,pile
0389.wav,yet he still thinks as swiftly as ever,yet he still thinks as swiftly as ever
0390.wav,Everything went real smooth the sheriff said,everything went real smooth the sheriff said
0391.wav,bubble,bubble
0392.wav,group,group
0393.wav,forward,forward
0394.wav,race,race
0395.wav,jacket,jacket
0396.wav,delta,delta
0397.wav,trade,trade
0398.wav,pot,pot
0399.wav,we're,were
0400.wav,When he speaks his voice is just a bit cracked and quivers a trifle,when he speaks his voice is just a bit cracked and quivers a trifle
0401.wav,of,of
0402.wav,corn,corn
0403.wav,sigh,sigh
0404.wav,suit,suit
0405.wav,warm,warm
0406.wav,trait,trait
0407.wav,floor,floor
0408.wav,We have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less
0409.wav,witch,witch
0410.wav,He will allow a rare lie,he will allow a rare lie
0411.wav,beat,beat
0412.wav,trace,trace
0413.wav,Don't ask me to carry an oily rag like that,dont ask me to carry an oily rag like that
0414.wav,dug,dug
0415.wav,bat,bat
0416.wav,much,much
0417.wav,sip,sip
0418.wav,pat,pat
0419.wav,fair,fair
0420.wav,know,know
0421.wav,pat,pat
0422.wav,feet,feet
0423.wav,This was easy for us,this was easy for us
0424.wav,Bright sunshine shimmers on the ocean,bright sunshine shimmers on the ocean
0425.wav,Just one side got wet,just one side got wet
0426.wav,I was conscious all the time,i was conscious all the time
0427.wav,briar,briar
0428.wav,All the big baseball players get traded,all the big baseball players get traded
0429.wav,write,write
0430.wav,share,share
0431.wav,The quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog
0432.wav,range,range
0433.wav,rock,rock
0434.wav,sigh,sigh
0435.wav,giving those who observe him a pronounced feeling of the utmost respect,giving those who observe him a pronounced feeling of the utmost respect
0436.wav,They carried me off on the stretcher,they carried me off on the stretcher
0437.wav,bad,bad
0438.wav,slip,slip
0439.wav,jagged,jagged
0440.wav,alpha,alpha
0441.wav,sip,sip
0442.wav,write,write
0443.wav,thigh,thigh
0444.wav,one,one
0445.wav,four,four
0446.wav,stubble,stubble
0447.wav,store,store
0448.wav,double,double
0449.wav,galore,galore
0450.wav,down,down
0451.wav,Grandfather likes to be modern in his language,grandfather likes to be modern in his language
0452.wav,sprinkle,sprinkle
0453.wav,chair,chair
0454.wav,single,single
0455.wav,Are your grades higher or lower than Nancy's,are your grades higher or lower than nancys
0456.wav,Two other cases also were under advisement,two other cases also were under advisement
0457.wav,Except in the winter when the ooze or snow or ice prevents,except in the winter when the ooze or snow or ice prevents
0458.wav,I just try to do my best,i just try to do my best
0459.wav,hear,hear
0460.wav,You'd be better off taking a cold shower,youd be better off taking a cold shower
0461.wav,two,two
0462.wav,here,here
0463.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
0464.wav,Will Robin wear a yellow lily,will robin wear a yellow lily
0465.wav,fate,fate
0466.wav,car,car
0467.wav,for,for
0468.wav,I feel I can play this weekend,i feel i can play this weekend
0469.wav,deer,deer
0470.wav,Twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ
0471.wav,tie,tie
0472.wav,suit,suit
0473.wav,Grandfather likes to be modern in his language,grandfather likes to be modern in his language
0474.wav,feed,feed
0475.wav,meat,meat
0476.wav,Both figures would go higher in later years,both figures would go higher in later years
0477.wav,trait,trait
0478.wav,I scrubbed the floors thoroughly,i scrubbed the floors thoroughly
0479.wav,left,left
0480.wav,loop,loop
0481.wav,up,up
0482.wav,side,side
0483.wav,warm,warm
0484.wav,tear ,tear 
0485.wav,no,no
0486.wav,sticks,sticks
0487.wav,knee,knee
0488.wav,beat,beat
0489.wav,know,know
0490.wav,mere,mere
0491.wav,knew,knew
0492.wav,swarm,swarm
0493.wav,sigh,sigh
0494.wav,goat,goat
0495.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
0496.wav,raid,raid
0497.wav,charlie,charlie
0498.wav,rake,rake
0499.wav,the,the
0500.wav,mut,mut
0501.wav,select,select
0502.wav,explore,explore
0503.wav,air,air
0504.wav,no,no
0505.wav,troop,troop
0506.wav,left,left
0507.wav,knew,knew
0508.wav,droop,droop
0509.wav,lip,lip
0510.wav,She is thinner than I am,she is thinner than i am
0511.wav,ate,ate
0512.wav,rain,rain
0513.wav,whoop,whoop
0514.wav,You wished to know all about my grandfather,you wished to know all about my grandfather
0515.wav,tear ,tear 
0516.wav,gnaw,gnaw
0517.wav,hair,hair
0518.wav,floor,floor
0519.wav,though,though
0520.wav,go,go
0521.wav,right,right
0522.wav,Their house is grey and white,their house is grey and white
0523.wav,left,left
0524.wav,farm,farm
0525.wav,torn,torn
0526.wav,the,the
0527.wav,bear,bear
0528.wav,form,form
0529.wav,air,air
0530.wav,glow,glow
0531.wav,train,train
0532.wav,witch,witch
0533.wav,trouble,trouble
0534.wav,wish,wish
0535.wav,he slowly takes a short walk in the open air each day,he slowly takes a short walk in the open air each day
0536.wav,chair,chair
0537.wav,pay,pay
0538.wav,coupe,coupe
0539.wav,feed,feed
0540.wav,ship,ship
0541.wav,My sister made the flowered curtains,my sister made the flowered curtains
0542.wav,dark,dark
0543.wav,Well he is nearly ninetythree years old,well he is nearly ninetythree years old
0544.wav,She had your dark suit in greasy wash water all year,she had your dark suit in greasy wash water all year
0545.wav,rate,rate
0546.wav,spark,spark
0547.wav,steer,steer
0548.wav,I tried to tell people in the community,i tried to tell people in the community
0549.wav,slip,slip
0550.wav,toot,toot
0551.wav,feet,feet
0552.wav,hate,hate
0553.wav,spark,spark
0554.wav,storm,storm
0555.wav,slip,slip
0556.wav,seed,seed
0557.wav,The books are very expensive,the books are very expensive
0558.wav,beef,beef
0559.wav,hall,hall
0560.wav,chap,chap
0561.wav,I'm willing to experiment for the first time,im willing to experiment for the first time
0562.wav,shoot,shoot
0563.wav,Upgrade your status to reflect your wealth,upgrade your status to reflect your wealth
0564.wav,That's what life is really all about,thats what life is really all about
0565.wav,reef,reef
0566.wav,row,row
0567.wav,shore,shore
0568.wav,Mom strongly dislikes appetizers,mom strongly dislikes appetizers
0569.wav,Cement is measured in cubic yards,cement is measured in cubic yards
0570.wav,bloat,bloat
0571.wav,bender,bender
0572.wav,whip,whip
0573.wav,she,she
0574.wav,end,end
0575.wav,nine,nine
0576.wav,We've done it in the past,weve done it in the past
0577.wav,two,two
0578.wav,hail,hail
0579.wav,blow,blow
0580.wav,tread,tread
0581.wav,catch,catch
0582.wav,He played basketball there while working toward a law degree,he played basketball there while working toward a law degree
0583.wav,street,street
0584.wav,spit,spit
0585.wav,mike,mike
0586.wav,We got married right here,we got married right here
0587.wav,no,no
0588.wav,said,said
0589.wav,thread,thread
0590.wav,five,five
0591.wav,code,code
0592.wav,He further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals
0593.wav,quicker,quicker
0594.wav,ham,ham
0595.wav,bit,bit
0596.wav,Suddenly my reflexes are gone,suddenly my reflexes are gone
0597.wav,Displayed as lamps the puppets delight the children and are decorative accent,displayed as lamps the puppets delight the children and are decorative accent
0598.wav,Can you paint a room or a portrait,can you paint a room or a portrait
0599.wav,fill,fill
0600.wav,sticks,sticks
0601.wav,They'll never fit me again,theyll never fit me again
0602.wav,mile,mile
0603.wav,call,call
0604.wav,ramp,ramp
0605.wav,select,select
0606.wav,He has played very well,he has played very well
0607.wav,space,space
0608.wav,boast,boast
0609.wav,wack,wack
0610.wav,hitting,hitting
0611.wav,sierra,sierra
0612.wav,rage,rage
0613.wav,muck,muck
0614.wav,dusk,dusk
0615.wav,They make gin saws and deal in parts supplies and some used gin machinery,they make gin saws and deal in parts supplies and some used gin machinery
0616.wav,Students watched as he got out,students watched as he got out
0617.wav,fold,fold
0618.wav,mall,mall
0619.wav,dead,dead
0620.wav,toe,toe
0621.wav,hand,hand
0622.wav,hall,hall
0623.wav,Have no fear if you come alone,have no fear if you come alone
0624.wav,form,form
0625.wav,grow,grow
0626.wav,yes,yes
0627.wav,kilo,kilo
0628.wav,That plant needs more water,that plant needs more water
0629.wav,A few may be hard to find,a few may be hard to find
0630.wav,meat,meat
0631.wav,burn,burn
0632.wav,Those musicians harmonize marvelously,those musicians harmonize marvelously
0633.wav,I've kept it with me ever since,ive kept it with me ever since
0634.wav,sable,sable
0635.wav,Fill that canteen with fresh spring water,fill that canteen with fresh spring water
0636.wav,bowl,bowl
0637.wav,Alimony harms a divorced man's wealth,alimony harms a divorced mans wealth
0638.wav,heat,heat
0639.wav,grape,grape
0640.wav,bag,bag
0641.wav,dial,dial
0642.wav,pat,pat
0643.wav,They received all the things they needed,they received all the things they needed
0644.wav,scorch,scorch
0645.wav,that,that
0646.wav,it,it
0647.wav,mat,mat
0648.wav,gable,gable
0649.wav,grope,grope
0650.wav,The misguided souls have lost their way,the misguided souls have lost their way
0651.wav,He took heart and played,he took heart and played
0652.wav,Ambidextrous pickpockets accomplish more,ambidextrous pickpockets accomplish more
0653.wav,The lack of heat compounded the tenant's grievances,the lack of heat compounded the tenants grievances
0654.wav,Get a calico cat to keep,get a calico cat to keep
0655.wav,subtract,subtract
0656.wav,bat,bat
0657.wav,ease,ease
0658.wav,fall,fall
0659.wav,fat,fat
0660.wav,tall,tall
0661.wav,She doesn't like to have it hanging around,she doesnt like to have it hanging around
0662.wav,hid,hid
0663.wav,reap,reap
0664.wav,court,court
0665.wav,It was time to go up myself,it was time to go up myself
0666.wav,rattle,rattle
0667.wav,Yet he remains the fiercest of competitors,yet he remains the fiercest of competitors
0668.wav,grange,grange
0669.wav,In fact our whole defensive unit did a good job,in fact our whole defensive unit did a good job
0670.wav,pit,pit
0671.wav,Aluminum silverware can often be flimsy,aluminum silverware can often be flimsy
0672.wav,rock,rock
0673.wav,It's fun to roast marshmallows on a gas burner,its fun to roast marshmallows on a gas burner
0674.wav,add,add
0675.wav,conserve,conserve
0676.wav,steak,steak
0677.wav,refer,refer
0678.wav,lid,lid
0679.wav,Critical equipment needs proper maintenance,critical equipment needs proper maintenance
0680.wav,weep,weep
0681.wav,bust,bust
0682.wav,able,able
0683.wav,beast,beast
0684.wav,flicker,flicker
0685.wav,echo,echo
0686.wav,peas,peas
0687.wav,bed,bed
0688.wav,two,two
0689.wav,hat,hat
0690.wav,coat,coat
0691.wav,win,win
0692.wav,renter,renter
0693.wav,rest,rest
0694.wav,neat,neat
0695.wav,uniform,uniform
0696.wav,tap,tap
0697.wav,steak,steak
0698.wav,tort,tort
0699.wav,six,six
0700.wav,bunch,bunch
0701.wav,shut,shut
0702.wav,read,read
0703.wav,and,and
0704.wav,tall,tall
0705.wav,dread,dread
0706.wav,sort,sort
0707.wav,ladle,ladle
0708.wav,It's illegal to postdate a check,its illegal to postdate a check
0709.wav,You have to expect a few bad calls,you have to expect a few bad calls
0710.wav,pain,pain
0711.wav,torn,torn
0712.wav,The misprint provoked an immediate disclaimer,the misprint provoked an immediate disclaimer
0713.wav,Look for pockets of black sand,look for pockets of black sand
0714.wav,one,one
0715.wav,Any contributions will be greatly appreciated,any contributions will be greatly appreciated
0716.wav,I called two different painters,i called two different painters
0717.wav,had,had
0718.wav,Spring Street is straight ahead,spring street is straight ahead
0719.wav,blow,blow
0720.wav,I expect we'll bounce back this week,i expect well bounce back this week
0721.wav,Chocolate and roses never fail as a romantic gift,chocolate and roses never fail as a romantic gift
0722.wav,but,but
0723.wav,The family requests that flowers be omitted,the family requests that flowers be omitted
0724.wav,It was a good win for us,it was a good win for us
0725.wav,spain,spain
0726.wav,Help celebrate your brother's success,help celebrate your brothers success
0727.wav,nap,nap
0728.wav,damp,damp
0729.wav,bend,bend
0730.wav,leap,leap
0731.wav,seam,seam
0732.wav,panel,panel
0733.wav,it,it
0734.wav,is,is
0735.wav,Good service should be rewarded by big tips,good service should be rewarded by big tips
0736.wav,vat,vat
0737.wav,sew,sew
0738.wav,globe,globe
0739.wav,sap,sap
0740.wav,to,to
0741.wav,beat,beat
0742.wav,reap,reap
0743.wav,I also can be quite vocal,i also can be quite vocal
0744.wav,seed,seed
0745.wav,She was not seriously injured,she was not seriously injured
0746.wav,Wages are a key issue,wages are a key issue
0747.wav,converge,converge
0748.wav,three,three
0749.wav,A quick touchdown resulted,a quick touchdown resulted
0750.wav,dug,dug
0751.wav,sew,sew
0752.wav,Challenge each general's intelligence,challenge each generals intelligence
0753.wav,shed,shed
0754.wav,store,store
0755.wav,charm,charm
0756.wav,sicker,sicker
0757.wav,horn,horn
0758.wav,We talked about the situation,we talked about the situation
0759.wav,score,score
0760.wav,absurd,absurd
0761.wav,The legislature met to judge the state of public education,the legislature met to judge the state of public education
0762.wav,Whitecapped waves covered the entire bay,whitecapped waves covered the entire bay
0763.wav,beat,beat
0764.wav,seven,seven
0765.wav,The staff deserves a lot of credit working down here under real obstacles,the staff deserves a lot of credit working down here under real obstacles
0766.wav,contrast,contrast
0767.wav,sport,sport
0768.wav,lend,lend
0769.wav,She suggested we all have dinner together,she suggested we all have dinner together
0770.wav,is,is
0771.wav,hold,hold
0772.wav,teach,teach
0773.wav,lip,lip
0774.wav,The box contained three sweaters,the box contained three sweaters
0775.wav,bat,bat
0776.wav,Biblical scholars argue history,biblical scholars argue history
0777.wav,court,court
0778.wav,ate,ate
0779.wav,ail,ail
0780.wav,had,had
0781.wav,rise,rise
0782.wav,soul,soul
0783.wav,The job provides many benefits,the job provides many benefits
0784.wav,Then we'd really have someplace to go,then wed really have someplace to go
0785.wav,side,side
0786.wav,table,table
0787.wav,People who value themselves are life's winners,people who value themselves are lifes winners
0788.wav,leak,leak
0789.wav,judge,judge
0790.wav,timber,timber
0791.wav,cold,cold
0792.wav,suppress,suppress
0793.wav,fitting,fitting
0794.wav,The snow blew into large drifts,the snow blew into large drifts
0795.wav,We just sat there giggling,we just sat there giggling
0796.wav,whisky,whisky
0797.wav,The owners regularly look for plumbing leaks,the owners regularly look for plumbing leaks
0798.wav,cork,cork
0799.wav,zero,zero
0800.wav,bill,bill
0801.wav,pace,pace
0802.wav,pink,pink
0803.wav,zero,zero
0804.wav,walk,walk
0805.wav,farm,farm
0806.wav,cash,cash
0807.wav,spade,spade
0808.wav,So if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above
0809.wav,Only lawyers love millionaires,only lawyers love millionaires
0810.wav,grain,grain
0811.wav,hate,hate
0812.wav,find,find
0813.wav,sender,sender
0814.wav,It's beauty that surrounds you,its beauty that surrounds you
0815.wav,They either walked or were driven,they either walked or were driven
0816.wav,air,air
0817.wav,four,four
0818.wav,bunch,bunch
0819.wav,tip,tip
0820.wav,Her dark hair is combed casually,her dark hair is combed casually
0821.wav,red,red
0822.wav,Nothing has been done yet to take advantage of the enabling legislation,nothing has been done yet to take advantage of the enabling legislation
0823.wav,wide,wide
0824.wav,forward,forward
0825.wav,Unfortunately there is still little demand for broccoli and cauliflower,unfortunately there is still little demand for broccoli and cauliflower
0826.wav,dug,dug
0827.wav,one,one
0828.wav,hail,hail
0829.wav,sell,sell
0830.wav,Beg that guard for one gallon of gas,beg that guard for one gallon of gas
0831.wav,sea,sea
0832.wav,foe,foe
0833.wav,The plot is laced with mysterious incidents,the plot is laced with mysterious incidents
0834.wav,member,member
0835.wav,naval,naval
0836.wav,ache,ache
0837.wav,mole,mole
0838.wav,dill,dill
0839.wav,ticker,ticker
0840.wav,Most weeds grow strong and fast,most weeds grow strong and fast
